CellLabel	Distance[µm]	DAPI	MTCOI	SDHA
Pos1	64.823	56.714	377.429	420.857
Pos1	65.145	56.857	379	435.429
Pos1	65.468	58.286	384.714	476
Pos1	65.79	57.857	416.429	549.714
Pos1	66.113	56.429	448.571	594.857
Pos1	66.435	58.714	475.429	616.429
Pos1	66.758	56.429	451.286	663.714
Pos1	67.08	56.143	471.286	780.857
Pos1	67.403	56.857	518.857	750.714
Pos1	67.725	56.714	635.429	768.143
Pos1	68.048	58.857	602.857	575
Pos1	68.37	58	496.286	536.429
Pos1	68.693	58.429	395.571	423.571
Pos1	69.015	57.429	352.429	439.286
Pos1	69.338	61.571	330	450.286
Pos1	69.66	61.286	333.571	446
Pos1	69.983	58.857	367	420.429
Pos1	70.305	63	364.857	425.571
Pos1	70.628	64.714	391.571	521
Pos1	70.95	64.714	391.571	521
Pos1	71.273	66.714	546.571	581.857
Pos1	71.595	69.429	531.286	495.714
Pos1	71.918	71.429	509.571	530.143
Pos1	72.24	75.857	510.714	615.286
Pos1	72.563	75.857	510.714	615.286
Pos1	72.885	79.571	525.286	647.714
Pos1	73.208	81.286	487.714	600
Pos1	73.53	86.714	493.286	624.571
Pos1	73.853	89.857	507.429	596.143
Pos1	74.175	100.286	525.286	687.714
Pos1	74.498	102.857	538.857	690.571
Pos1	74.82	109	541.429	659.429
Pos1	75.143	121.143	505.571	676.857
Pos1	75.465	131.857	508.286	595.143
Pos1	75.788	135.571	444.429	501
Pos1	76.11	135.571	444.429	501
Pos1	76.433	162.143	345.286	521.143
Pos1	76.755	163.286	308.714	530.429
Pos1	77.078	167	365	530
Pos1	77.4	168.571	384.429	529.143
Pos1	77.723	165.857	394.429	497.857
Pos1	78.045	161.143	344.286	436.286
Pos1	78.368	153.429	309.429	411.429
Pos1	78.69	144	297.714	428.429
Pos1	79.013	136	307.857	447
Pos1	79.335	126.286	315	472.286
Pos1	79.658	118.857	312.286	492.857
Pos1	79.98	115	323.714	519.571
Pos1	80.303	101.857	359.286	565.571
Pos1	80.625	101.143	416.857	557.143
Pos1	80.948	95.857	437	499.857
Pos1	81.27	91	372.286	458.286
Pos1	81.593	85.857	331.429	459
Pos1	81.915	78.857	324.286	507.143
Pos1	82.238	76.857	428.286	522.286
Pos1	82.56	74.143	453.429	495.429
Pos1	82.883	74.714	406.286	458
Pos1	83.205	74.429	361.429	394.571
Pos1	83.528	68.857	305	356.143
Pos1	83.85	65.429	272.429	342.286
Pos1	84.173	67.143	259	356.143
Pos1	84.495	63.429	281.714	367.857
Pos1	84.818	62.429	295	387.857
Pos1	85.14	64.571	296.286	395.857
Pos1	85.463	62.857	320.857	408.857
Pos1	85.785	64.857	321.286	389
Pos1	86.108	65.286	309.857	353.714
Pos1	86.43	66.286	295.286	320.143
Pos1	86.753	63.714	249.857	318.714
Pos1	87.075	60.857	229.714	357.714
Pos1	87.398	62.143	237.429	436
