	Line scan				Control region		
Foci no	Distance	DAPI	MTCOI	SDHA	DAPI	MTCOI	SDHA
1	80.704	66	664	696.2	65.915	544.159	125.726
1	81.026	67.4	634.8	691.4	65.915	544.159	125.726
1	81.349	64.8	509.6	706	65.915	544.159	125.726
1	81.672	66.2	486.4	645.4	65.915	544.159	125.726
1	81.995	67.8	533.8	725.4	65.915	544.159	125.726
1	82.318	69.6	650	701.8	65.915	544.159	125.726
1	82.64	67.8	681.2	605.4	65.915	544.159	125.726
1	82.963	68.8	613.2	572	65.915	544.159	125.726
1	83.286	67.4	443	504.8	65.915	544.159	125.726
1	83.609	67.6	460.8	566.2	65.915	544.159	125.726
1	83.932	70.2	679.4	695	65.915	544.159	125.726
1	84.254	70.2	679.4	695	65.915	544.159	125.726
1	84.577	69.4	782.4	718.4	65.915	544.159	125.726
1	84.9	69.6	800.6	701.4	65.915	544.159	125.726
1	85.223	70.8	591	688	65.915	544.159	125.726
1	85.546	70.8	607	743.8	65.915	544.159	125.726
1	85.869	73	707.2	764.6	65.915	544.159	125.726
1	86.191	73	707.2	764.6	65.915	544.159	125.726
1	86.514	73.4	647	606.6	65.915	544.159	125.726
1	86.837	82.8	393.8	461.2	65.915	544.159	125.726
1	87.16	94.6	309.2	457.6	65.915	544.159	125.726
1	87.483	94.6	309.2	457.6	65.915	544.159	125.726
1	87.805	145.8	441.6	635.6	65.915	544.159	125.726
1	88.128	277.4	481.2	680	65.915	544.159	125.726
1	88.451	277.4	481.2	680	65.915	544.159	125.726
1	88.774	599.2	438.6	744.4	65.915	544.159	125.726
1	89.097	1011.4	536.4	715.2	65.915	544.159	125.726
1	89.419	1179.8	460.2	638.2	65.915	544.159	125.726
1	89.742	1467.6	351.4	603.6	65.915	544.159	125.726
1	90.065	1917	312	560.8	65.915	544.159	125.726
1	90.388	2253.4	291.8	543.6	65.915	544.159	125.726
1	90.711	2488.4	373.8	518	65.915	544.159	125.726
1	91.034	2279	389	526.4	65.915	544.159	125.726
1	91.356	2482.4	332	523.6	65.915	544.159	125.726
1	91.679	2727.2	333.8	660	65.915	544.159	125.726
1	92.002	3166.6	417.8	794.2	65.915	544.159	125.726
1	92.325	3166.6	417.8	794.2	65.915	544.159	125.726
1	92.648	3229.2	528.2	823.4	65.915	544.159	125.726
1	92.97	3006	593	613.2	65.915	544.159	125.726
1	93.293	3217.2	477	488.8	65.915	544.159	125.726
1	93.616	2969.4	446.4	472.6	65.915	544.159	125.726
1	93.939	2954.4	303.4	422.8	65.915	544.159	125.726
1	94.262	3121.8	235.4	491.4	65.915	544.159	125.726
1	94.585	3114	220.4	677.2	65.915	544.159	125.726
1	94.907	2985.6	261	737.6	65.915	544.159	125.726
1	95.23	3129.4	232.8	687.2	65.915	544.159	125.726
1	95.553	3309.4	186.8	590.4	65.915	544.159	125.726
1	95.876	3289.6	184	589.6	65.915	544.159	125.726
1	96.199	3490.2	163.2	481.2	65.915	544.159	125.726
1	96.521	3675.2	151	546	65.915	544.159	125.726
1	96.844	3711.8	146	591.8	65.915	544.159	125.726
1	97.167	3693.2	153.4	733.2	65.915	544.159	125.726
1	97.49	3710.2	171.8	817.8	65.915	544.159	125.726
1	97.813	3710.2	171.8	817.8	65.915	544.159	125.726
1	98.135	3622.2	206.4	1010.8	65.915	544.159	125.726
1	98.458	3413.2	240.2	978	65.915	544.159	125.726
